"Adjusted P value","ID","Description","A & B","A","B","U"
"0.00334291935486292","GO:0003824","catalytic activity","44","60","4672","10021"
"0.00147681005811177","GO:0005975","carbohydrate metabolic process","12","60","443","10021"
"0.0364940327440026","GO:0016757","transferase activity, transferring glycosyl groups","8","60","287","10021"
"3.89307153503705e-05","GO:0008194","UDP-glycosyltransferase activity","7","60","73","10021"
"0.0358638640032844","GO:0016758","transferase activity, transferring hexosyl groups","7","60","214","10021"
"1.3912574988433e-05","GO:0005976","polysaccharide metabolic process","7","60","62","10021"
"0.000341836579311419","GO:0044262","cellular carbohydrate metabolic process","7","60","101","10021"
"3.39588442819177e-05","GO:0016051","carbohydrate biosynthetic process","7","60","71","10021"
"1.04387279382813e-05","GO:0034637","cellular carbohydrate biosynthetic process","7","60","59","10021"
"1.71431004656488e-06","GO:0000271","polysaccharide biosynthetic process","7","60","44","10021"
"3.177006780705e-06","GO:0006073","cellular glucan metabolic process","7","60","49","10021"
"1.16830526347334e-06","GO:0009250","glucan biosynthetic process","7","60","40","10021"
"1.71431004656488e-06","GO:0033692","cellular polysaccharide biosynthetic process","7","60","44","10021"
"3.177006780705e-06","GO:0044042","glucan metabolic process","7","60","49","10021"
"5.19628737439396e-06","GO:0044264","cellular polysaccharide metabolic process","7","60","53","10021"
"5.86533262814272e-08","GO:0051273","beta-glucan metabolic process","7","60","26","10021"
"5.16738187993119e-08","GO:0051274","beta-glucan biosynthetic process","7","60","25","10021"
"3.96160343920075e-07","GO:0035251","UDP-glucosyltransferase activity","7","60","34","10021"
"1.24649903875469e-06","GO:0046527","glucosyltransferase activity","7","60","41","10021"
"3.61618329077132e-09","GO:0030244","cellulose biosynthetic process","7","60","17","10021"
"1.81153860168025e-09","GO:0016760","cellulose synthase (UDP-forming) activity","7","60","15","10021"
"4.4174874960906e-09","GO:0030243","cellulose metabolic process","7","60","18","10021"
"1.81153860168025e-09","GO:0016759","cellulose synthase activity","7","60","15","10021"
"0.0121907095620206","GO:0051087","chaperone binding","3","60","15","10021"
