"microarray"	"rnaseq"	"flag"
"Os01g0121000"	"Os01g0121000"	1
"Os01g0121100"	"Os01g0121100"	1
"Os01g0121200"	"Os01g0121200"	1
"Os01g0121300"	"Os01g0121300"	1
"Os01g0121500"	"Os01g0121500"	1
"Os01g0121600"	"Os01g0121600"	1
"Os01g0121700"	"Os01g0121700"	1
"Os01g0121800"	"Os01g0121800"	1
"Os01g0122000"	"Os01g0122000"	1
"Os01g0122200"	"Os01g0122200"	1
"Os01g0122300"	"Os01g0122701"	2
"Os01g0123000"	NA	3
"Os01g0123500"	"Os01g0123500"	1
"Os01g0123900"	"Os01g0123900"	1
"Os01g0124000"	"Os01g0124000"	1
"Os01g0124100"	"Os01g0124100"	1
"Os01g0124200"	"Os01g0124200"	1
"Os01g0124400"	"Os01g0124401"	2
"Os01g0124600"	NA	3
"Os01g0124700"	"Os01g0124700"	1
"Os01g0125500"	"Os01g0125550"	2
"Os01g0125600"	"Os01g0125600"	1
"Os01g0125700"	"Os01g0125700"	1
"Os01g0125800"	"Os01g0125800"	1
"Os01g0125900"	"Os01g0125900"	1
"Os01g0126000"	"Os01g0126000"	1
"Os01g0126100"	"Os01g0126100"	1
"Os01g0126200"	"Os01g0126200"	1
"Os01g0126400"	"Os01g0126401"	2
"Os01g0126500"	"Os01g0126401"	2
"Os01g0126600"	"Os01g0126600"	1
"Os01g0126900"	"Os01g0126900"	1
"Os01g0127000"	"Os01g0127000"	1
"Os01g0127100"	"Os01g0127000"	2
"Os01g0127200"	"Os01g0127200"	1
"Os01g0127300"	"Os01g0127300"	1
"Os01g0127400"	"Os01g0127450"	2
"Os01g0127500"	"Os01g0127500"	1
"Os01g0127600"	"Os01g0127600"	1
"Os01g0127700"	"Os01g0127700"	1
"Os01g0127900"	"Os01g0127900"	1
"Os01g0128000"	"Os01g0128000"	1
"Os01g0128100"	"Os01g0128100"	1
"Os01g0128200"	"Os01g0128200"	1
"Os01g0128300"	"Os01g0128200"	2
"Os01g0128400"	"Os01g0128400"	1
"Os01g0128700"	"Os01g0128700"	1
"Os01g0128800"	"Os01g0128800"	1
"Os01g0129100"	NA	3
"Os01g0129200"	"Os01g0129200"	1
"Os01g0129300"	NA	3
"Os01g0129500"	"Os01g0129500"	1
"Os01g0129600"	"Os01g0129600"	1
"Os01g0129800"	"Os01g0129800"	1
"Os01g0130000"	"Os01g0130000"	1
"Os01g0130100"	NA	3
"Os01g0130200"	NA	3
"Os01g0130400"	"Os01g0130400"	1
"Os01g0130500"	"Os01g0130500"	1
"Os01g0130900"	"Os01g0130900"	1
"Os01g0131300"	"Os01g0131300"	1
"Os01g0131600"	"Os01g0131600"	1
"Os01g0131800"	"Os01g0131800"	1
"Os01g0131900"	"Os01g0131900"	1
"Os01g0132000"	"Os01g0132000"	1
"Os01g0132100"	"Os01g0132050"	2
"Os01g0132200"	"Os01g0132200"	1
"Os01g0132400"	"Os01g0132400"	1
"Os01g0132500"	NA	3
"Os01g0132600"	"Os01g0132700"	2
"Os01g0132700"	"Os01g0132700"	1
"Os01g0132800"	"Os01g0132800"	1
"Os01g0133000"	"Os11g0461132"	2
"Os01g0133100"	"Os01g0133100"	1
"Os01g0133200"	"Os01g0133200"	1
"Os01g0133400"	"Os01g0133400"	1
"Os01g0133500"	"Os01g0133500"	1
"Os01g0133700"	"Os01g0133700"	1
"Os01g0133900"	"Os01g0133900"	1
"Os01g0134200"	"Os01g0134200"	1
"Os01g0134300"	"Os01g0134200"	2
"Os01g0134500"	"Os01g0134500"	1
"Os01g0134700"	"Os01g0134700"	1
"Os01g0134800"	"Os01g0134800"	1
"Os01g0134900"	"Os01g0134900"	1
"Os01g0135000"	"Os01g0135000"	1
"Os01g0135100"	"Os06g0108900"	2
"Os01g0135400"	"Os01g0135600"	2
"Os01g0135600"	"Os01g0135600"	1
"Os01g0135700"	"Os01g0135700"	1
