"Adjusted P value","ID","Description","A & B","A","B","U"
"0.023787295930466","GO:0032991","protein-containing complex","14","53","828","10021"
"3.14167809680066e-10","GO:0098796","membrane protein complex","13","53","149","10021"
"2.57016991812653e-13","GO:0015979","photosynthesis","12","53","64","10021"
"4.13527294548555e-06","GO:0009523","photosystem II","6","53","31","10021"
"9.57907520184588e-16","GO:0009521","photosystem","12","53","40","10021"
"1.01231902928471e-16","GO:0009579","thylakoid","13","53","45","10021"
"2.37443867024771e-15","GO:0034357","photosynthetic membrane","12","53","44","10021"
"6.87370152016485e-10","GO:0009522","photosystem I","6","53","9","10021"
"1.48138913783015e-09","GO:0009538","photosystem I reaction center","5","53","5","10021"
