microarray	rnaseq	flag
Os03g0717900	Os03g0717900	1
Os03g0722700	Os03g0722700	1
Os03g0728800	Os03g0728800	1
Os03g0730400	Os03g0730400	1
Os03g0733800	NA	3
Os03g0752800	Os03g0752800	1
Os03g0754200	Os03g0754200	1
Os03g0765400	Os03g0765400	1
Os03g0767700	Os03g0767700	1
Os03g0768600	NA	3
Os03g0783800	NA	3
Os03g0791700	Os03g0791700	1
Os03g0795000	Os03g0795000	1
Os03g0803000	Os03g0803000	1
Os03g0805400	Os03g0805400	1
Os03g0811700	Os03g0811700	1
Os03g0825600	Os03g0825600	1
Os03g0826400	Os03g0826400	1
Os03g0833700	Os03g0833700	1
Os03g0848600	Os03g0848600	1
Os03g0854100	Os03g0854100	1
Os03g0854200	Os03g0854200	1
Os03g0854500	Os03g0854500	1
Os04g0169300	Os04g0169300	1
Os04g0181100	Os04g0181100	1
Os04g0231800	Os04g0231800	1
Os04g0339000	NA	3
Os04g0340800	Os04g0340800	1
Os04g0346000	Os04g0346000	1
Os04g0349500	Os04g0349500	1
Os04g0368000	Os04g0368000	1
Os04g0378400	Os04g0378400	1
Os04g0380200	Os04g0380200	1
Os04g0402100	Os04g0402100	1
Os04g0402500	NA	3
Os04g0403500	Os04g0403500	1
Os04g0417800	Os04g0417800	1
Os04g0430200	Os04g0430200	1
Os04g0431200	Os04g0431300	2
Os04g0442100	Os04g0442100	1
Os04g0452700	Os04g0452700	1
Os04g0459900	Os04g0459900	1
Os04g0494400	Os04g0494400	1
Os04g0503500	Os04g0503500	1
Os04g0503600	Os04g0503600	1
Os04g0513000	Os04g0513000	1
Os04g0514400	Os04g0514400	1
Os04g0528400	Os04g0528400	1
Os04g0544900	Os04g0544900	1
Os04g0566500	Os04g0566500	1
Os04g0583000	Os04g0583000	1
Os04g0584600	Os04g0584600	1
Os04g0589600	Os04g0589600	1
Os04g0595100	Os04g0596350	2
Os04g0599100	Os04g0599100	1
Os04g0599900	Os04g0599900	1
Os04g0601700	Os04g0601700	1
Os04g0616900	Os04g0616900	1
Os04g0626600	Os04g0626600	1
Os04g0644200	NA	3
Os04g0648800	Os04g0648800	1
Os04g0652500	Os04g0652550	2
Os04g0661600	Os04g0661600	1
Os04g0670400	Os04g0670400	1
Os04g0679400	Os04g0679400	1
Os04g0685400	Os04g0685400	1
Os05g0146700	NA	3
Os05g0150500	Os05g0150500	1
Os05g0150900	Os05g0150900	1
Os05g0176100	Os05g0176100	1
Os05g0214300	Os05g0214300	1
Os05g0289400	Os05g0289400	1
Os05g0295300	Os05g0295300	1
Os05g0300700	Os05g0300700	1
Os05g0322900	Os05g0322900	1
Os05g0335800	Os05g0335800	1
Os05g0337400	Os05g0337400	1
Os05g0344200	Os05g0344200	1
Os05g0346100	Os05g0346100	1
Os05g0357600	Os05g0357600	1
Os05g0391000	Os05g0390932	2
Os05g0392000	Os05g0392000	1
Os05g0407100	Os05g0407100	1
Os05g0419000	Os05g0419000	1
Os05g0431700	Os05g0431700	1
Os05g0455600	Os05g0455600	1
Os05g0460000	NA	3
Os05g0463300	NA	3
Os05g0482700	Os05g0482700	1
Os05g0486100	Os05g0486100	1
Os05g0491000	Os05g0491000	1
Os05g0498700	Os05g0498700	1
Os05g0505900	Os05g0505900	1
Os05g0507300	Os05g0507300	1
Os05g0516300	Os05g0516300	1
Os05g0538900	Os05g0538900	1
Os05g0540000	Os05g0540000	1
Os05g0546800	Os05g0546800	1
Os05g0549800	Os05g0549800	1
Os05g0557400	Os05g0557400	1
Os05g0574300	Os05g0574300	1
Os05g0584300	Os05g0584300	1
Os05g0587600	Os05g0587600	1
Os06g0101000	Os06g0101000	1
Os06g0107900	NA	3
Os06g0111500	Os06g0111500	1
Os06g0113500	Os06g0113500	1
Os06g0114400	NA	3
Os06g0116500	Os06g0116500	1
Os06g0116600	Os06g0116600	1
Os06g0120200	Os06g0120200	1
Os06g0133500	NA	3
Os06g0144600	Os06g0144600	1
Os06g0158600	Os06g0158600	1
Os06g0165600	Os06g0165600	1
Os06g0188800	Os06g0188800	1
Os06g0232200	Os06g0232233	2
Os06g0234100	Os06g0234100	1
Os06g0300800	Os06g0300800	1
Os06g0312900	Os02g0779650	2
Os06g0319800	NA	3
Os06g0334400	Os06g0334400	1
Os06g0342100	Os06g0342100	1
Os06g0483500	Os06g0483500	1
Os06g0486400	Os06g0486400	1
Os06g0491800	Os06g0491800	1
Os06g0494400	Os06g0494400	1
Os06g0509100	Os06g0509100	1
Os06g0557100	Os06g0557100	1
Os06g0602600	Os06g0602600	1
Os06g0622700	Os06g0622700	1
Os06g0649900	Os06g0649900	1
Os06g0671600	Os06g0671600	1
Os06g0687800	Os06g0687800	1
Os06g0699600	Os06g0699600	1
Os06g0704700	Os06g0704700	1
Os06g0705100	Os06g0705100	1
Os06g0705300	Os06g0705300	1
Os06g0706400	Os06g0706400	1
Os06g0708700	Os06g0708700	1
Os06g0719900	Os06g0720100	2
Os06g0729800	Os06g0729800	1
Os07g0106200	Os07g0106200	1
Os07g0110900	Os07g0110900	1
Os07g0119800	Os07g0119800	1
Os07g0123800	Os07g0123800	1
Os07g0134500	Os07g0134500	1
Os07g0138100	Os07g0138100	1
Os07g0149300	Os07g0149250	2
Os07g0158900	Os07g0158900	1
Os07g0164000	Os07g0164000	1
Os07g0196100	Os07g0196100	1
Os07g0208500	Os07g0208500	1
Os07g0209000	Os07g0209000	1
Os07g0249200	Os07g0249200	1
Os07g0271000	Os07g0271000	1
Os07g0274700	Os07g0274700	1
Os07g0419800	Os07g0419800	1
Os07g0452700	Os07g0452700	1
Os07g0464600	Os07g0464600	1
Os07g0475800	Os07g0475800	1
Os07g0491900	NA	3
Os07g0497000	Os07g0497100	2
Os07g0510500	Os07g0510500	1
Os07g0515000	Os07g0515000	1
