fromNode	toNode	weight	direction	fromAltName	toAltName
Os01g0180800	Os08g0525600	0.0624601348894956	undirected	Os01g0180800	Os08g0525600
Os01g0757500	Os03g0113700	0.0396132925736738	undirected	Os01g0757500	Os03g0113700
Os01g0840100	Os05g0460000	0.085963525721172	undirected	Os01g0840100	Os05g0460000
Os02g0100300	Os07g0246200	0.0377803972348856	undirected	Os02g0100300	Os07g0246200
Os02g0115900	Os04g0402100	0.123528025082495	undirected	Os02g0115900	Os04g0402100
Os02g0115900	Os07g0246200	0.0569177286281331	undirected	Os02g0115900	Os07g0246200
Os02g0115900	Os08g0278900	0.0712480589583478	undirected	Os02g0115900	Os08g0278900
Os02g0115900	Os09g0451500	0.0642403915298602	undirected	Os02g0115900	Os09g0451500
Os02g0644100	Os03g0381300	0.0458404595578769	undirected	Os02g0644100	Os03g0381300
Os02g0644100	Os08g0500800	0.0419521846681002	undirected	Os02g0644100	Os08g0500800
Os02g0644100	Os08g0525600	0.049508612619143	undirected	Os02g0644100	Os08g0525600
Os03g0113700	Os03g0265600	0.0502303584349985	undirected	Os03g0113700	Os03g0265600
Os03g0113700	Os05g0187800	0.0475969105729322	undirected	Os03g0113700	Os05g0187800
Os03g0113700	Os06g0116800	0.0525420574356695	undirected	Os03g0113700	Os06g0116800
Os03g0113700	Os08g0196700	0.0615665968827902	undirected	Os03g0113700	Os08g0196700
Os03g0113700	Os08g0500800	0.0485039571706132	undirected	Os03g0113700	Os08g0500800
Os03g0113700	Os09g0491756	0.0727432390032575	undirected	Os03g0113700	Os09g0491756
Os03g0265600	Os09g0491756	0.0629406378966004	undirected	Os03g0265600	Os09g0491756
Os03g0381300	Os05g0187800	0.0399923182025529	undirected	Os03g0381300	Os05g0187800
Os03g0381300	Os08g0525600	0.0597879735547709	undirected	Os03g0381300	Os08g0525600
Os04g0402100	Os07g0246200	0.0600805864388989	undirected	Os04g0402100	Os07g0246200
Os05g0187800	Os09g0491756	0.042589648840422	undirected	Os05g0187800	Os09g0491756
Os05g0407100	Os05g0460000	0.0486999974754788	undirected	Os05g0407100	Os05g0460000
Os05g0407100	Os06g0195800	0.0630683622361813	undirected	Os05g0407100	Os06g0195800
Os06g0116800	Os09g0491756	0.0465544818919793	undirected	Os06g0116800	Os09g0491756
Os06g0253100	Os09g0526600	0.0991711280016415	undirected	Os06g0253100	Os09g0526600
Os08g0196700	Os08g0500800	0.0488356355301196	undirected	Os08g0196700	Os08g0500800
Os08g0196700	Os09g0491756	0.0488621038469232	undirected	Os08g0196700	Os09g0491756
Os08g0500700	Os08g0525600	0.0809766136763853	undirected	Os08g0500700	Os08g0525600
Os08g0500800	Os09g0491756	0.0475591271506571	undirected	Os08g0500800	Os09g0491756
